 ,P1 (ref),P2,P3,N1,N2,KOMENTÁŘ ÚTRL,vzájemné revize - ukázky
"""The vessel has left the port of Bandar Abbas and is transiting to Dubai for the crew to disembark and receive medical checks and debriefing,"" Hanell said. ""The families of crew members have been informed and the Company is currently making arrangements for the repatriation of its valued seafarers at the earliest possible opportunity.""","„Plavidlo opustilo přístav Bandar Abbás a odplouvá do Dubaje, kde se posádka vylodí, podstoupí lékařské prohlídky a podá hlášení,“ řekl Hanell. „Rodiny členů posádky byly informovány a společnost v současné době připravuje repatriaci svých námořníků, kterých si váží, v co nejkratší době.“","„Plavidlo opustilo přístav Bandar Abbas a popluje do Dubaje, kde se bude moct posádka vylodit, podstoupit lékařské kontroly a podat hlášení,“ uvedl Hanell. „Rodiny členů posádky byly informovány a společnost v současné chvíli připravuje opatření pro návrat svých cenných námořníků do vlasti, při nejbližší možné příležitosti.“","""Plavidlo opustilo přístav v Bandar Abbásu a pluje do Dubaje, kde se posádka vylodí a podrobí se lékařské kontrole a výslechu,"" uvedl Hannel. ""Rodiny členů posádky byly informovány a společnost momentálně připravuje repatriaci svých oceňovaných námořníků při nejbližší možné příležitosti.""","„Plavidlo opustilo přístav Bandar Abbás a odplouvá do Dubaje, kde se posádka vylodí, podstoupí lékařské prohlídky a podá hlášení,“ řekl Hanell. „Rodiny členů posádky již byly informovány a společnost v současné době dělá všechno proto, aby co nejdříve proběhla repatriace našich námořníků, kterých si tolik vážíme.“","„Plavidlo vyplulo z přístavu Bandar Abbás směrem do  Dubaje, kde se posádka vylodí, podstoupí lékařskou prohlídku a podá hlášení,“ upřesnil Hanell. „Rodiny členů posádky jsme informovali a společnost v současné době dělá všechno proto, aby v co nejkratší době mohla proběhnout repatriace našich zaměstnanců, kteří pro nás tolik znamenají.“","valued - kontextově vhodný jednoslovný ekvivalent zřejmě neexistuje, proto transformace VV",
"The ship became victim to escalating tensions near the Persian Gulf where both the United States and Iran shot down the other's drone and at least two tankers were sabotaged by explosives, which the Trump administration has blamed Iran for.","Loď se stala obětním beránkem stupňujícího se napětí v oblasti Perského zálivu, kde Spojené státy a Írán navzájem sestřelily své drony a nejméně dva tankery byly sabotovány výbušninami, z čehož Trumpova vláda obvinila Írán.","Loď se stala obětí stupňujícího se napětí poblíž Perského zálivu, kde si USA a Írán navzájem sestřelili drony a kde byly výbušninami sabotovány nejméně dva tankery, z čehož Trumpova vláda obvinila Írán.","Loď se stala obětí rostoucího napětí kolem Perského zálivu, kde si USA a Írán navzájem sestřelily drony a nejméně na dva tankery byly provedeny útoky výbušninou, z čehož Trumpova administrativa viní Írán.","Loď se stala obětí stupňujícího se napětí v oblasti Perského zálivu, kde Spojené státy a Írán navzájem sestřelily své drony a nejméně dva tankery byly sabotovány výbušninami, z čehož Trumpova vláda obvinila Írán.","Loď se stala obětí rostoucího napětí v oblasti Perského zálivu, kde si Spojené státy a Írán navzájem sestřelily své drony a nejméně dva tankery byly sabotovány výbušninami, z čehož Trumpova administrativa viní Írán.",,
"The Trump administration most recently blamed Iran for drone attacks on Saudi Arabian oil facilities, which Tehran denies having any involvement with.","Trumpova administrativa nedávno obvinila Írán také z útoků na ropná zařízení v Saúdské Arábii, na kterých však Teherán popírá jakoukoli účast.","Trumpova vláda nedávno obvinila Írán z útoků dronů na saudskoarabské ropné zařízení, což však Teherán popírá.","Trumpova administrativa nedávno obvinila Írán z dronových útoků na saúdskoarabská ropná zařízení, ale Teherán popírá, že by s tím měl něco společného.","Trumpova administrativa nedávno Írán obvinila také z útoků dronů na ropná zařízení v Saúdské Arábii, Teherán však jakoukoli účast na nich popírá.","Spojené státy nedávno Írán obvinily také z útoků dronů na ropná zařízení v Saúdské Arábii, Teherán však jakoukoli účast na nich popírá.",,
,,,,,,,
,,,,,,,
upi.205660,,,,,,,
Lorenzo strengthens into Category 4 hurricane east of Caribbean,Hurikán Lorenzo zesílil na stupeň 4 východně od Karibiku,Hurikán Lorenzo posiluje na 4. stupeň východně od Karibiku,Hurikán Lorenzo v jižním Karibiku zesílil na kategorii 4,Hurikán Lorenzo zesílil východně od Karibiku na 4. stupeň,Hurikán Lorenzo zesílil východně od Karibiku na čtvrtý stupeň,,
"Hurricane Lorenzo strengthened into a Category 4 storm Thursday, producing swells that could affect parts of the Windward Islands and South America, the National Hurricane Center said.","Hurikán Lorenzo ve čtvrtek zesílil na stupeň 4 a vyvolal vlny, které by mohly ovlivnit některé z Návětrných ostrovů a Jižní Ameriku, uvedlo Národní centrum pro hurikány.","Hurikán Lorenzo ve čtvrtek posílil na bouři 4. stupně a způsobil vlny, které by mohly zasáhnout části Návětrných ostrovů a jižní Ameriku, uvedlo národní hurikánové centrum.","Hurikán Lorenzo ve čtvrtek zesílil na bouři kategorie 4 a vyvolal vzedmutí moře, které by mohlo zasáhnout části Návětrných ostrovů a jižní Ameriky, uvedlo Národní středisko pro hurikány.","Hurikán Lorenzo ve čtvrtek zesílil na 4. stupeň a způsobil vlny, které by mohly zasáhnout části Návětrných ostrovů a Jižní Ameriky, uvedlo Národní středisko pro hurikány.","Hurikán Lorenzo ve čtvrtek zesílil na čtvrtou kategorii a způsobil vlny, které by mohly zasáhnout části Návětrných ostrovů a Jižní Ameriky, uvedlo americké Národní hurikánové centrum.","cs zprávy: běžné jsou termíny ""stupeň"" i ""kategorie"" (proto N2 střídá obojí); nízké číslovky se obvykle píší slovy (N2); kromě tvaru ""5. stupně"" je úzus také ""stupeň 5""
",
"The eye of the major hurricane was about 1,660 miles southwest of the Azores in the NHC's 11 p.m. EDT update. The storm was moving north-northwest at 14 mph with 145 mph maximum sustained winds.",Oko hlavního hurikánu se nacházelo asi 1660 mil jihozápadně od Azorských ostrovů v 11:00 večer východního letního času. Bouře se pohybovala severozápadním směrem rychlostí 14 mil za hodinu s maximálními udržovanými větry 145 mil za hodinu.,"Oko hlavního hurikánu bylo asi 1660 mil jihozápadně od Azor v 11:00 EDT, dodalo Národní hurikánové centrum. Bouře mířila severo-severozápadně rychlosí 14 mil za hodinu s maximálním trvalým větrem 145 mil za hodinu.",Oko hlavního hurikánu bylo asi 1660 mil jihozápadně od Azorů v aktualizaci NHC v 11 večer EDT. Bouře se přesouvala na severo-severozápad rychlostí 14 mil za hodinu s maximálními vytrvalými větry o rychlosti 145 mil za hodinu.,Podle údajů tohoto střediska z 11 hodin večer východního letního času (EDT) se oko hlavního hurikánu nacházelo asi 1660 mil jihozápadně od Azorských ostrovů. Bouře se pohybovala severoseverozápadním směrem rychlostí 14 mil za hodinu a maximální rychlost trvalého větru byla 145 mil za hodinu.,Podle údajů střediska z 11 hodin večer východního letního času (EDT) se oko hlavního hurikánu nacházelo asi 1660 mil jihozápadně od Azorských ostrovů. Bouře se pohybovala na severoseverozápad rychlostí 14 mil za hodinu. Maximální rychlost trvalého větru byla 145 mil za hodinu.,"P1+P2 nepochopení toho, že se jedná o aktualizaci v uvedeném čase
",
"The storm isn't forecast to make landfall in the coming days, though a turn toward the northeast Saturday could bring Lorenzo near the Azores in the middle of next week. Forecasters predict the storm will weaken below Category 3 on Monday.","Nepředpokládá se, že bouře v příštích dnech dorazí na pevninu, ačkoli obrat na severovýchod v sobotu by mohl přihnat hurikán Lorenzo do blízkosti Azor během poloviny příštího týdne. Prognózy předpovídají, že bouře v pondělí zeslábne na stupeň 3.","Předpokládá se, že bouře v následujících dnes nezasáhne pevninu, nicméně sobotní obrat směrem k severovýchodu by mohl v donést Lorenza poblíž k Azorům v polovině příštího týdne. Meteorologové předpokládají, že bouře v pondělí oslabí pod 3. stupeň.","Není předpovězeno, že by měla bouře v nejbližších dnech dorazit k pevnině, ačkoli otočení k severovýchodu v sobotu by mohlo zanést Lorenza blízko k Azorům uprostřed příštího týdne. Předpovědi uvádějí, že bouře zeslábne v pondělí pod kategorii 3.","Nepředpokládá se, že bouře v příštích dnech dorazí na pevninu, nicméně případný obrat severovýchodním směrem během soboty by mohl způsobit, že se hurikán Lorenzo přesune do blízkosti Azor během poloviny příštího týdne. Meteorologové předpokládají, že bouře v pondělí zeslábne na nižší než 3. stupeň.","Nepředpokládá se, že bouře v příštích dnech dorazí na pevninu, nicméně případný sobotní obrat severovýchodním směrem by mohl způsobit, že se hurikán Lorenzo přesune do blízkosti Azor v polovině příštího týdne. Meteorologové předpokládají, že intenzita bouře klesne v pondělí pod třetí stupeň.",,
Swells generated by the storm could cause life-threatening surf and rip currents in the Windward Islands and northeastern South America.,Vlny vytvořené bouří by mohly být nebezpečné v příbojových a zpětných proudech na ostrovech a severovýchodě Jižní Ameriky.,"Vlny, způsobené bouří, mohou způsobit život ohrožující příboj a zpětný proud na Návětrných ostrovech a jihovýchodě Jižní Ameriky.",Vzedmutí moře způsobené bouří by mohlo způsobit život ohrožující vlnobití a zpětné proudy na Návětrných ostrovech a na severovýchodě jižní Ameriky.,Vlny způsobené hurikánem mohou na Návětrných ostrovech a na severovýchodě Jižní Ameriky vytvořit životu nebezpečné příboje a zpětné proudy.,Kvůli vlnám způsobeným hurikánem mohou na Návětrných ostrovech a na severovýchodním pobřeží Jižní Ameriky vzniknout životu nebezpečné příboje a zpětné proudy.,,
Lorenzo is the season's second Category 4 or higher storm. Dorian reached Category 5 status near the Bahamas.,Lorenzo je druhá sezónní bouře se stupněm 4 nebo vyšším. Hurikán Dorian dosáhl stupně 5 poblíž Baham.,Lorenzo je v této sezóně již druhou bouří 4. nebo vyššího stupně. Dorian dosáhl 5. kategorie poblíž Baham.,Lorenzo je druhou bouří v sezóně kategorie 4 nebo vyšší. Dorian dosáhl kategorie 5 u Baham.,Lorenzo je v této sezóně již druhou bouří 4. nebo vyššího stupně. Hurikán Dorian dosáhl poblíž Baham stupně 5.,Lorenzo je v této sezóně již druhou bouří čtvrté nebo vyšší kategorie. Hurikán Dorian dosáhl poblíž Bahamských ostrovů pátého stupně.,,
"According to Colorado State University Meteorologist Philip Klotzbach, the Western Hemisphere, which encompasses the Atlantic and eastern Pacific basins, has generated 16 named storms since Aug. 21.","Podle meteorologa ze státní Univerzity Philipa Klotzbacha v Coloradu se na západní polokouli, na které se nacházejí Atlantik a východní Pacifik, vytvořilo od 21. srpna 16 pojmenovaných bouří.","Podle meteorologa coloradské státní univerzity Philipa Klotzbacha, západní polokoule, která zahrnuje povodí Atlantiku a východního Pacifiku, vyprodukovala od 21. srpna 16 pojmenovaných bouří.","Podle meteorologa Colorádské státní univerzity Philipa Klotzbacha západní polokoule, která obklopuje atlantickou a jihopacifickou oblast tvorby tropických cyklón, vygenerovala od 21. srpna 16 pojmenovaných bouří .","Podle meteorologa Philipa Klotzbacha z Coloradské státní univerzity vzniklo na západní polokouli, na které se nacházejí atlantická i východopacifická oblast, od 21. srpna 16 pojmenovaných bouří.","Podle meteorologa z Koloradské státní univerzity Philipa Klotzbacha se na západní polokouli, na které se nacházejí atlantická i východopacifická oblast, od 21. srpna vytvořilo šestnáct pojmenovaných bouří.",,
"""This is the most on record for the Western Hemisphere between Aug. 21-Sept. 23, breaking the old record of 15 named storms set in 1984 and 2002,"" he wrote on Twitter.","„Toto je nejvíce zaznamenaných bouří na západní polokouli v období mezi 21. a 23. zářím, čímž byl překonán starý rekord 15 pojmenovaných bouří v letech 1984 a 2002,“ napsal na Twitteru.","„Toto je největší rekord na západní polokouli mezi 21. srpnem a 23. zářím, což překonává starý rekord 15 pojmenovaných bouří v řadě z roku 1984 a 2002“, napsal na svém Twitteru.","""To je nejvíce zaznamenaných bouří na západní polokouli mezi 21. srpnem a 23. zářím. Tím je pokořen starý rekord 15 pojmenovaných bouří, zaznamenaný v letech 1984 a 2002,"" napsal na Twitteru.","„Jedná se o nejvyšší počet zaznamenaných bouří na západní polokouli mezi 21. srpnem a 23. zářím. Tím je pokořen starý rekord 15 pojmenovaných bouří z let 1984 a 2002,“ napsal na Twitteru.","„Jedná se o nejvyšší počet zaznamenaných bouří na západní polokouli mezi 21. srpnem a 23. zářím. Byl tak překonán starý rekord 15 pojmenovaných bouří, které byly zaznamenány v letech 1984 a 2002,“ uvedl Klotzbach na Twitteru.",,
,,,,,,,
,,,,,,,
en.ndtv.com.13152,,,,,,,
Government Retires 15 More Senior Tax Officials On Graft Charges,Vláda poslala do důchodu dalších 15 vysokých daňových úředníků podezřelých z korupce,Vláda odvolala dalších 15 vysoce postavených daňových úředníků kvůli korupci,Vláda odvolává 15 vedoucích daňových úředníků obviněných z korupce,Vláda penzionovala dalších 15 vysokých daňových úředníků obviněných z korupce,Vláda poslala do důchodu dalších 15 vysokých daňových úředníků nařčených z korupce,,
New Delhi:,Nové Dillí:,Nové Dillí:,Nové Dillí:,Nové Dillí:,,,
The government has compulsorily retired 15 more tax officers in the fourth tranche of its crackdown on errant officials accused of corruption and other malpractices.,Vláda přikázala odchod do důchodu dalším 15 daňovým úředníkům v rámci čtvrtého balíčku opatření proti úředníkům obviněným z korupce a dalších nezákonných praktik.,Vláda povinně poslala do důchodu dalších 15 daňových úředníků ve čtvrté vlně svého zásahu proti špatným úředníkům obviněným z korupce a dalších profesních pochybení.,Vláda odvolala 15 dalších daňových úředníků ve čtvrté tranši stíhání vykyvujících úředníků obviněných z korupce a dalších nezákonných praktik.,Vláda nařídila okamžitě poslat do důchodu dalších 15 daňových úředníků v rámci čtvrtého kola zátahu na nepoctivé státní zaměstnance obviněné z korupce a dalších nezákonných praktik.,"Vláda nuceně penzionovala dalších patnáct zaměstnanců berních úřadů poté, co si už počtvrté došlápla na nepoctivé úředníky obviněné z korupce a dalších nezákonných praktik.",P3 ve čtvrté tranši stíhání vykyvujících úředníků - zcela nesrozumitelné,
"The Central Board of Indirect Taxes and Customs (CBIC) -- the agency that oversees GST and import tax collections -- compulsorily retired 15 senior officers under Fundamental Rule 56 (J) on corruption and other charges, official sources said.","Ústřední rada nepřímých daní a cel (CBIC) – agentura, která dohlíží na GST a výběr daní z dovozu – přikázala odchod do důchodu 15 vysokým úředníkům podle paragrafu 56 (j) o korupci a dalších poplatcích, jak uvedly oficiální zdroje.","Centrální výbor pro nepřímé daně a cla (CBIC) - agentura, která dohlíží na daně ze zboží a služeb a výběr daní z dovozu - poslala povinně do důchodu 15 vysoce postavených úředníků podle základního pravidla 56 (J) o korupci a dalších obviněních, uvedly oficiální zdroje.","Ústřední komise nepřímých daní a cel (UKNDC) — agentura, která dohlíží na  daně ze zboží a služeb a vybrání vývozních dávek — odvolala 15 vedoucích  úředníků na základě Základního Pravidla 56 (J) o korupci a jiných obviněních,  uvedly oficiální zdroje.","Ústřední rada pro nepřímé daně a cla (CBIC), úřad dohlížející na výběr daně na zboží a služby a daně z dovozu, přikázala odchod do důchodu 15 vysokým úředníkům podle paragrafu 56 (j) o korupci a jiném nezákonném jednání, uvedly oficiální zdroje.","Ústřední rada pro nepřímé daně a cla (CBIC), jež dohlíží na výběr daně na zboží a služby a daně z dovozu, podle oficiálních zdrojů propustila z aktivní služby patnáct vysokých úředníků, a to na základě předpisů upravujících službu státních zaměstnanců.",N2 generalizace pojmenování předpisu,
"Since June, this is the fourth round of sacking of corrupt tax officials. In the previous three rounds, 49 high ranking tax officers, including 12 from the Central Board of Direct Taxes (CBDT), were compulsorily retired.","Od června je to už počtvrté, co jsou zkorumpovaní daňoví úředníci vyhozeni z práce. V předchozích třech vlnách bylo donuceno odejít do důchodu 49 vysoce postavených daňových úředníků, včetně 12 úředníků z Ústřední rady pro přímé daně (CBDT).","Od června jde o čtvrté kolo vyhazování zkorumpovaných daňových úředníků. V předchozích třech kolech bylo povinně posláno do důchodu 49 vysoce postavených daňových úředníků, včetně 12 z Centrálního výboru pro přímé daně (CBDT).",Od června je toto čtvrté kolo vyhazovu zkorumpovaných daňových úředníků.  V minulých třech kolech bylo odvoláno 49 vysoce postavených daňových úředníků  včetně 12 z úředního výboru přímých daní (UVPD).,"Od června jde už o čtvrté kolo výpovědí zkorumpovaných daňových úředníků. V předchozích třech vlnách bylo donuceno odejít do důchodu 49 vysoce postavených daňových úředníků, včetně 12 úředníků z Ústřední rady pro přímé daně (CBDT).","Od června je to už počtvrté, co zkorumpovaní daňoví úředníci dostali hromadnou výpověď. V předchozích třech vlnách bylo donuceno odejít do důchodu 49 vysoce postavených daňových úředníků, včetně 12 úředníků z Ústřední rady pro přímé daně (CBDT).",,
"Sources said the action was in line with Prime Minister Narendra Modi's address to the nation from the ramparts of the Red Fort when he had said some black sheep in the tax administration may have misused their powers and harassed taxpayers, either by targeting honest assesses or taking excessive action for minor or procedural violations.","Podle oficiálních zdrojů proběhla akce v návaznosti na projev ministerské předsedkyně Narendry Modiové k národu z hradeb Rudé pevnosti, kdy řekla, že někteří nepoctiví úředníci v systému daňové správy mohli zneužít své pravomoce a obtěžovat daňové poplatníky, buď tím, že perzekuovali poctivé plátce, nebo prováděli neadekvátní opatření za menší či procesní přestupky.","Zdroje uvádějí, že akce byla v souladu s projevem premiéra Nerendry Modiho k národu z hradeb Červené pevnosti, kde řekl, že některé černé ovce v daňové správe možná zneužily svých pravomocí a pronásledovaly daňové poplatníky, buťo tím, že se zaměřili na ty, kteří byli považováni za čestné, nebo podnikli přehnané kroky za drobná nebo procesní pochybení.","Zdroje uvedly, že úkon souvisel s projevem prémiéra Narendra Modiho  k národu z hradeb Červené pevnosti, když řekl, že určité černé ovce v daňové  administrativě nejspíše zneužily svou pravomoc a osočovaly  daňové poplatníky buď tím, že se zaměřovaly na poctivé posouzení,  nebo tím, že se uchylovaly k přehaným krokům při nižších nebo procesních přestupcích.","Podle zdrojů akce souvisí s projevem premiéra Naréndry Módího k národu z hradeb Červené pevnosti, v němž prohlásil, že jisté černé ovce v systému daňové správy podle všeho zneužívaly své pravomoci a perzekvovaly daňové poplatníky, buď tím, že se zaměřovaly na poctivé plátce, nebo přistupovaly k nepřiměřeným postihům za menší či procesní pochybení.",,"P1 pohlaví premiéra
P3 se zaměřovaly na poctivé posouzení - nesrozumitelné",
"""We have recently taken the bold step of compulsorily retiring a significant number of tax officials, and we will not tolerate this type of behaviour,"" he had said.","„Nedávno jsme podnikli odvážný krok, když jsme donutili odejít do důchodu značný počet daňových úředníků, a takové chování nebudeme nadále tolerovat,“ uvedla.","""Aktuálně jsme podnikli smělé kroky k povinnému odstoupení významného počtu daňových úředníků a nebudeme tolerovat tento způsob chování,"" řekl.","“Současně jsme učinili zásadní krok odvoláním významného počtu daňových úředníků,  toto chování nebudeme tolerat,” uvedl.","„Nedávno jsme podnikli odvážný krok, když jsme donutili odejít do důchodu značný počet daňových úředníků, a takové chování nebudeme nadále tolerovat,“ uvedl.",,,
"Nearly half of the officials retired were those who were arrested by the CBI for allegedly receiving illegal gratification. One of them was caught accepting a bribe of Rs 15,000. One official is accused of having assets disproportionate to his known source of income.","Téměř polovina úředníků, kteří odešli do důchodu, byli ti, které CBI zatkla za údajné přijímání úplatků. Jeden z nich byl chycen při braní úplatku ve výši 15 000 RS. Další úředník je obviněn z nahromadění majetku nepřiměřeného jeho oficiálnímu zdroji příjmů.","Téměř polovina odvolaných úředníků byli ti, kteří byli zadrženi CBI za to, že údajně přijímali ilegální pozornosti. Jeden z nich byl přistižen při přijímí úplatku ve výši 15 000 rupií. Jeden z úředníků byl obviněn za to, že má majetek, který neodpovídá jeho známým zdrojům příjmů.","Skoro polovina odvolaných úředníků byli ti, kteří byli daňovým výborem zatčeni  pro údajné přijímání nelegálního honoráře. Jeden z nich byl přistižen při přijímání úplatku Rs 15,000. Jeden z úředník byl obviněn z vlastnění nemovitostí neúměrných svému známému zdroji příjmů.","Téměř polovinu nedávno penzionovaných úředníků tvoří osoby, které CBI zadržela za údajné braní úplatků. Jeden z úředníků byl přistižen při přijímání úplatku ve výši 15 tisíc rupií. Další čelí obvinění z toho, že jeho majetek neodpovídá jeho oficiálnímu zdroji příjmů.",,,
